Edad,Sexo,Valor,Data,Tipo
21 años,Hombres,57947,Absolutos,entre100001y500000
22 años,Hombres,57239,Absolutos,entre100001y500000
23 años,Hombres,57336,Absolutos,entre100001y500000
24 años,Hombres,57023,Absolutos,entre100001y500000
25 años,Hombres,58212,Absolutos,entre100001y500000
26 años,Hombres,58661,Absolutos,entre100001y500000
27 años,Hombres,60563,Absolutos,entre100001y500000
28 años,Hombres,61898,Absolutos,entre100001y500000
29 años,Hombres,62246,Absolutos,entre100001y500000
30 años,Hombres,61965,Absolutos,entre100001y500000
31 años,Hombres,63224,Absolutos,entre100001y500000
32 años,Hombres,64911,Absolutos,entre100001y500000
33 años,Hombres,65446,Absolutos,entre100001y500000
34 años,Hombres,67160,Absolutos,entre100001y500000
35 años,Hombres,69684,Absolutos,entre100001y500000
36 años,Hombres,72357,Absolutos,entre100001y500000
37 años,Hombres,74740,Absolutos,entre100001y500000
38 años,Hombres,79302,Absolutos,entre100001y500000
39 años,Hombres,83387,Absolutos,entre100001y500000
40 años,Hombres,86938,Absolutos,entre100001y500000
41 años,Hombres,90112,Absolutos,entre100001y500000
42 años,Hombres,94467,Absolutos,entre100001y500000
43 años,Hombres,95981,Absolutos,entre100001y500000
44 años,Hombres,97246,Absolutos,entre100001y500000
45 años,Hombres,96526,Absolutos,entre100001y500000
46 años,Hombres,95249,Absolutos,entre100001y500000
47 años,Hombres,92343,Absolutos,entre100001y500000
48 años,Hombres,92008,Absolutos,entre100001y500000
49 años,Hombres,89310,Absolutos,entre100001y500000
50 años,Hombres,87532,Absolutos,entre100001y500000
51 años,Hombres,85678,Absolutos,entre100001y500000
52 años,Hombres,84160,Absolutos,entre100001y500000
53 años,Hombres,84104,Absolutos,entre100001y500000
54 años,Hombres,80837,Absolutos,entre100001y500000
55 años,Hombres,79338,Absolutos,entre100001y500000
56 años,Hombres,79618,Absolutos,entre100001y500000
57 años,Hombres,75777,Absolutos,entre100001y500000
58 años,Hombres,72868,Absolutos,entre100001y500000
59 años,Hombres,70114,Absolutos,entre100001y500000
60 años,Hombres,69940,Absolutos,entre100001y500000
61 años,Hombres,68057,Absolutos,entre100001y500000
62 años,Hombres,66376,Absolutos,entre100001y500000
63 años,Hombres,65330,Absolutos,entre100001y500000
64 años,Hombres,60539,Absolutos,entre100001y500000
65 años,Hombres,58437,Absolutos,entre100001y500000
66 años,Hombres,55688,Absolutos,entre100001y500000
67 años,Hombres,55615,Absolutos,entre100001y500000
68 años,Hombres,55309,Absolutos,entre100001y500000
69 años,Hombres,51774,Absolutos,entre100001y500000
70 años,Hombres,49926,Absolutos,entre100001y500000
71 años,Hombres,51238,Absolutos,entre100001y500000
72 años,Hombres,52678,Absolutos,entre100001y500000
73 años,Hombres,46810,Absolutos,entre100001y500000
74 años,Hombres,44207,Absolutos,entre100001y500000
75 años,Hombres,45171,Absolutos,entre100001y500000
76 años,Hombres,41301,Absolutos,entre100001y500000
77 años,Hombres,39004,Absolutos,entre100001y500000
78 años,Hombres,32741,Absolutos,entre100001y500000
